FileName,GraphSize,EdgeDensity,CanTwoColored,Method,Success,VisitedStates,Duration(ms)
training_data_69_success.json,7,0.52381,No,NeuralHeuristic_1,No,16402,356662
training_data_69_success.json,7,0.52381,No,NeuralHeuristic_2,Yes,65,2162
training_data_45_success.json,10,0.533333,No,NeuralHeuristic_1,No,23108,562053
training_data_45_success.json,10,0.533333,No,NeuralHeuristic_2,Yes,219,6639
training_data_21_success.json,10,0.311111,No,NeuralHeuristic_1,No,19532,436027
training_data_21_success.json,10,0.311111,No,NeuralHeuristic_2,Yes,1627,8101
training_data_96_success.json,8,0.464286,No,NeuralHeuristic_1,No,18154,401956
training_data_96_success.json,8,0.464286,No,NeuralHeuristic_2,Yes,58,2668
training_data_71_success.json,6,0.733333,No,NeuralHeuristic_1,Yes,47,888
training_data_71_success.json,6,0.733333,No,NeuralHeuristic_2,Yes,58,2576
training_data_46_success.json,8,0.714286,No,NeuralHeuristic_1,Yes,36,799
training_data_46_success.json,8,0.714286,No,NeuralHeuristic_2,Yes,134,3030
training_data_70_success.json,10,0.488889,No,NeuralHeuristic_1,No,26775,471011
training_data_70_success.json,10,0.488889,No,NeuralHeuristic_2,Yes,2612,11715
training_data_18_success.json,10,0.266667,No,NeuralHeuristic_1,No,17818,413729
training_data_18_success.json,10,0.266667,No,NeuralHeuristic_2,Yes,963,5572
training_data_79_success.json,8,0.5,No,NeuralHeuristic_1,No,19706,524864
training_data_79_success.json,8,0.5,No,NeuralHeuristic_2,Yes,1552,7194
training_data_12_success.json,8,0.678571,No,NeuralHeuristic_1,Yes,53,1080
training_data_12_success.json,8,0.678571,No,NeuralHeuristic_2,Yes,84,3125
training_data_55_success.json,9,0.611111,No,NeuralHeuristic_1,No,23264,443975
training_data_55_success.json,9,0.611111,No,NeuralHeuristic_2,Yes,101,4269
training_data_6_success.json,9,0.472222,No,NeuralHeuristic_1,No,23670,388336
training_data_6_success.json,9,0.472222,No,NeuralHeuristic_2,Yes,1905,7768
training_data_0_success.json,9,0.611111,No,NeuralHeuristic_1,No,21733,471819
training_data_0_success.json,9,0.611111,No,NeuralHeuristic_2,Yes,252,7636
training_data_31_success.json,7,0.571429,No,NeuralHeuristic_1,No,19107,461343
training_data_31_success.json,7,0.571429,No,NeuralHeuristic_2,Yes,68,2380
training_data_19_success.json,7,0.619048,No,NeuralHeuristic_1,Yes,45,955
training_data_19_success.json,7,0.619048,No,NeuralHeuristic_2,Yes,94,2515
training_data_32_success.json,9,0.361111,No,NeuralHeuristic_1,Yes,57,917
training_data_32_success.json,9,0.361111,No,NeuralHeuristic_2,Yes,1422,6543
training_data_20_success.json,7,0.47619,No,NeuralHeuristic_1,No,18518,337494
training_data_20_success.json,7,0.47619,No,NeuralHeuristic_2,Yes,78,2139
training_data_22_success.json,8,0.285714,No,NeuralHeuristic_1,No,20505,491048
training_data_22_success.json,8,0.285714,No,NeuralHeuristic_2,Yes,1102,5305
training_data_40_success.json,9,0.472222,No,NeuralHeuristic_1,Yes,36,736
training_data_40_success.json,9,0.472222,No,NeuralHeuristic_2,Yes,68,2782
training_data_28_success.json,9,0.694444,No,NeuralHeuristic_1,No,22133,466175
training_data_28_success.json,9,0.694444,No,NeuralHeuristic_2,Yes,137,5279
training_data_30_success.json,8,0.357143,No,NeuralHeuristic_1,No,18353,429976
training_data_30_success.json,8,0.357143,No,NeuralHeuristic_2,Yes,72,2347
training_data_44_success.json,10,0.6,No,NeuralHeuristic_1,No,26174,517373
training_data_44_success.json,10,0.6,No,NeuralHeuristic_2,No,50876,252274
training_data_68_success.json,8,0.357143,No,NeuralHeuristic_1,No,17805,364725
training_data_68_success.json,8,0.357143,No,NeuralHeuristic_2,Yes,68,2311
training_data_66_success.json,10,0.333333,No,NeuralHeuristic_1,No,19035,447941
training_data_66_success.json,10,0.333333,No,NeuralHeuristic_2,Yes,2287,8684
training_data_85_success.json,9,0.388889,No,NeuralHeuristic_1,No,18760,413862
training_data_85_success.json,9,0.388889,No,NeuralHeuristic_2,Yes,2622,10468
training_data_47_success.json,6,0.6,No,NeuralHeuristic_1,Yes,47,755
training_data_47_success.json,6,0.6,No,NeuralHeuristic_2,Yes,58,1976
